Game Date	Team	Play	Quarter	Yard	Down	Distance	Gain/Loss	Hash	Play Type	Result	Play Direction	Eff	Series	Offensive Strength	Field/Boundary	Opposing Team	Offensive Formation	Offensive Play	Defensive Front	Defensive Coverage	Defensive Play
2020-11-07T04:35:01.207	BHS	127	4	5	1	5	2	L	Run	Rush	L	N	9	Bal		Bentonville West High School	DICE SPLIT	STRONG HUSKER BOSS			
2020-11-07T04:35:01.207	BHS	128	4	3	2	3		L	Pass	Interception	R	Y	9	Bal		Bentonville West High School	DICE SPLIT	1 X 1 PLAY ACTION			
2020-11-07T04:35:01.207	BHS	129	4	-20	1	10	8	M	Pass	Complete	L	Y	8	Bal		Bentonville West High School	ACE	OKIE			
2020-11-07T04:35:01.207	BHS	130	4	-28	2	2	4	L	Run	Rush	L	Y	8	Bal	Boundary	Bentonville West High School	ACE	SOONER			
2020-11-07T04:35:01.207	BHS	131	4	-32	1	10	23	L	Pass	Complete	R	Y	8	L	Field	Bentonville West High School	WING/LT WING	BRONCO STAGGER			
2020-11-07T04:35:01.207	BHS	132	4	45	1	10	3	R	Run	Rush	L	N	8	L	Field	Bentonville West High School	TRACK/LT TRACK	HERD OUTLAW			
2020-11-07T04:35:01.207	BHS	133	4	42	2	7	42	L	Pass	Complete, td	L	Y	8	L	Boundary	Bentonville West High School	TRACK/LT TRACK	TEXAS			
2020-11-07T04:35:01.207	BHS	136	4	-20	1	10	4	M	Run	Rush	L	N	10	Bal		Bentonville West High School	DOUBLES GUN LEFT	WEAK CARDINAL GT			
2020-11-07T04:35:01.207	BHS	137	4	-24	2	6	-2	M	Run	Rush	R	Y	10	Bal		Bentonville West High School	DOUBLES GUN LEFT	WEAK CARDINAL GT			
2020-11-07T04:35:01.207	BHS	138	4	-22	3	8	0	M	Pass	Incomplete	L	Y	10	Bal		Bentonville West High School	DOUBLES GUN LEFT	H FANG			
2020-11-07T04:35:01.207	BHS	139	4	-22	4	8		M	Punt rec	Return			10			Bentonville West High School					
2020-11-07T04:35:01.207	BHS	140	4	-43	1	10	-10	L	Run	Penalty	R	N	9	R	Field	Bentonville West High School	HIP/LT HIP	BUFFALO WHAM			
2020-11-07T04:35:01.207	BHS	141	4	-33	1	20	7	M	Run	Rush	L	N	9	R		Bentonville West High School	HIP/LT HIP	BUFFALO RAIL			
2020-11-07T04:35:01.207	BHS	142	4	-40	2	13	12	M	Pass	Complete	L	Y	9			Bentonville West High School	ACE	OKIE			
2020-11-07T04:35:01.207	BHS	143	4	48	3	1	-2	L	Run	Rush	L	N	9	R	Boundary	Bentonville West High School	TRACE/LT TRACE	BUFFALO RAIL			
2020-11-07T04:35:01.207	BHS	144	4	50	4	3		L	Punt	Downed			9			Bentonville West High School					
2020-11-07T04:35:01.207	BHS	145	4	-2	1	10	0	R	Run	Rush	R	Y	11	L		Bentonville West High School	LEFT SPLIT	STRONG CARDINAL GT			
2020-11-07T04:35:01.207	BHS	146	4	-2	2	10	1	R	Run	Rush	R	Y	11	Bal		Bentonville West High School	DOUBLES GUN RIGHT	WEAK HUSKER			
2020-11-07T04:35:01.207	BHS	150	4	47	1	10	-5	L	Run	Rush	R	N	10	Bal	Field	Bentonville West High School					
2020-11-07T04:35:01.207	BHS	151	4	-48	2	15	-7	L	Run	Rush	R	N	10	Bal	Field	Bentonville West High School					
2024-04-08T12:19:52.93	BHS	91	2	50	3	6	50	L	Pass	Complete, td	L	Y	7	R		Bentonville West High School	TRIPS/LT TRIPS	CURL GLOW			
2024-04-08T12:19:52.93	BHS	120	3	31	4	11	13	M	Pass	Scramble	L	Y	9	R		Bentonville West High School	TRACK/LT TRACK	CURL SHAKE			
2024-04-08T12:19:52.93	BHS	90	3	25	1	10	16	L	Pass	Complete	L	Y	6	R	Boundary	Bentonville West High School	TRACK/LT TRACK	CURL SHAKE			
2024-04-08T12:19:52.93	BHS	113	3	-25	2	30	19	R	Pass	Complete	R	N	7	L	Boundary	Bentonville West High School	TRIPS/LT TRIPS	CURL SHAKE			
